Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,11.6921710616204
1998,13.0708222318607
1999,13.520105471325
2000,13.9044395261034
2001,14.0907008703619
2002,15.1974459115988
2003,15.1792072157607
2004,15.897000565931
2005,16.4745450107136
2006,16.9696642264783
2007,17.8692023015208
2008,18.4427546321088
2009,19.0250865737926
2010,19.157037815126
2011,19.8277667259973
2012,20.7552042977426
2013,21.7774474410703
2014,22.1882965165675
2015,22.8492991579336
2016,23.0913674246322
2017,23.5903366743768
2018,24.0978782716432
2019,24.6366036865178
2020,25.5804311774461
2021,26.1284632146934
2022,26.4676194017957
2023,26.7357485206308
2024,27.0344977100892
2025,..
