Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,5.98372975754091
2001,5.62583996419188
2002,5.25066826289862
2003,5.27198011477473
2004,5.6496587497386
2005,5.2146077410264
2006,5.13072084562247
2007,4.55107113276737
2008,4.66754203144098
2009,5.07005295633502
2010,5.18935694259451
2011,4.47547846066542
2012,5.0969687077633
2013,3.75068878253324
2014,3.39403003164992
2015,2.40571238417778
2016,2.53066771476298
2017,2.25023221040008
2018,2.06672453044442
2019,1.96371459720732
2020,2.01230908516488
2021,..
2022,2.67376952251488
2023,..
2024,2.81214874715595
2025,..
