Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,..
2005,..
2006,..
2007,98.32878
2008,101.32037
2009,95.32016
2010,91.07187
2011,103.23699
2012,101.44884
2013,99.34232
2014,99.76823
2015,99.5211
2016,99.51349
2017,99.31146
2018,99.36858
2019,..
2020,..
2021,..
2022,..
2023,..
2024,..
2025,..
