Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,47.6237517362368
1992,47.6012550862972
1993,47.6178492802439
1994,47.6484132398824
1995,47.7421258115184
1996,47.9195070840014
1997,48.0777374649287
1998,48.0794363804419
1999,48.2436163870906
2000,48.4348976859114
2001,48.6994203085991
2002,48.8871034174278
2003,48.9707295391208
2004,49.3321245710297
2005,49.7747374213177
2006,50.2274279038626
2007,50.6188437730837
2008,50.9858536131134
2009,50.9866615722443
2010,51.267735164111
2011,51.7221994342427
2012,52.2424364794947
2013,52.4234524279902
2014,52.7599529304246
2015,53.1306095886964
2016,53.3657925549134
2017,53.567523174518
2018,53.7333619953951
2019,53.8015045137435
2020,53.3145182866401
2021,53.3834055993757
2022,53.2469108677146
2023,53.3577318427557
2024,53.5209877859644
2025,..
