Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,10.9
1976,7.4
1977,3.1
1978,2
1979,1.7
1980,2
1981,2.6
1982,2.8
1983,3.3
1984,3.3
1985,3.3
1986,3.7
1987,3.4
1988,2.8
1989,2.3
1990,1.8
1991,3
1992,2.09
1993,2.7
1994,2.7
1995,2.6
1996,3.1
1997,3.4
1998,3.3
1999,5.532
2000,4.766
2001,4.043
2002,3.336
2003,4.153
2004,4.77
2005,5.481
2006,4.593
2007,3.946
2008,3.756
2009,5.594
2010,6.36
2011,7.942
2012,12.097
2013,16.131
2014,16.277
2015,15.026
2016,13.006
2017,11.155
2018,8.504
2019,7.155
2020,7.755
2021,7.513
2022,6.807
2023,5.835
2024,..
