Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,10.7531831170682
2001,11.2314752311175
2002,11.3469705574471
2003,10.1912806711121
2004,6.98361490351907
2005,6.91338588719249
2006,6.98784434295184
2007,5.90880047860761
2008,4.58644784986351
2009,5.22085707574205
2010,7.32387109220853
2011,7.63891265799355
2012,6.55548159537683
2013,5.56712664071932
2014,4.43925962839302
2015,4.33366113380478
2016,5.480837084389
2017,5.31154018848225
2018,4.92395571885756
2019,4.20824219241085
2020,3.59060771590267
2021,3.72697164945968
2022,7.94548646425802
2023,11.3327864008923
2024,9.97084346655505
2025,..
